PlayerID,TeamID,PlayerNo,PlayerNameE,PlayerNameJ,kWAR,OFFApps,DEFApps,RatingOFF,RatingDEF,HensatiOFF,HensatiDEF,HensatiOFF_abvRep,HensatiDEF_abvRep,Team,League,Division,Order,Rating,Matches,Wins,Loses,ScoreFor,ScoreAgainst,ScoreDiff,WinTable_1,WinTable_2,WinTable_3,WinTable_4,WinTable_5,WinTable_6,WinTable_7,WinTable_8,WinTable_9,WinTable_10,WinTable_11,WinTable_12,WinTable_13,WinTable_14,WinTable_15,WinTable_16,WinTable_17,WinTable_18,WinTable_19,WinTable_20,WinTable_21,WinTable_22,WinTable_23,WinTable_24,WinTable_25,WinTable_26,WinTable_27,WinTable_28,WinTable_29,WinTable_30,WinTable_31,WinTable_32,WinTable_33,WinTable_34,WinTable_35,WinTable_36,WinTable_37,WinTable_38,WinTable_39,WinTable_40,Prob_PS,Prob_PSHome,AbvRpl_OFF,AbvRpl_DEF,AbvRpl_Total,AbvRpl_OFF_1,AbvRpl_DEF_1,AbvRpl_Total_1
9033,700,15,Joji Takeuchi,竹内 譲次,0.361405022643581,2223,2424,-0.000482095116970257,0.00476683844519522,-3.99280234130345,-3.27048140148615,-1.31510176142758,-0.143739465605326,大阪,B1,西,21,-0.028720769058835,60,23,37,4868,4988,-120,1,0,1,0,0,0,3,1,0,0,1,2,1,3,1,0,3,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344250807882801,1.4627743053351,1.8070251132179,0.0688750709618272,0.294177340894221,0.363052411856048
8690,700,20,Rei Goda,合田 怜,0.441398578955126,1471,1435,0.0541824747658481,0.0727893266784367,2.21505313003052,5.74976086467018,4.8927537099064,8.876502800551,大阪,B1,西,21,-0.028720769058835,60,23,37,4868,4988,-120,1,0,1,0,0,0,3,1,0,0,1,2,1,3,1,0,3,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.866070289544083,1.34092260523155,2.20699289477563,0.174128033164927,0.271802375227206,0.445930408392133
20034,700,31,Makoto Kinoshita,木下 誠,0.652432180184645,2604,2779,0.0601034689896386,-0.0294843913265812,2.88745714723377,-7.81242625648527,5.56515772710965,-4.68568432060445,大阪,B1,西,21,-0.028720769058835,60,23,37,4868,4988,-120,1,0,1,0,0,0,3,1,0,0,1,2,1,3,1,0,3,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97419754711246,0.287963353810764,3.26216090092322,0.606977638655562,0.0576019967156171,0.664579635371179
8568,700,35,Tatsuya Suzuki,鈴木 達也,0.517457280940246,2430,2531,0.0314016502822324,-0.0100190776855881,-0.371998523632313,-5.23119394068958,2.30570205624356,-2.10445200480876,大阪,B1,西,21,-0.028720769058835,60,23,37,4868,4988,-120,1,0,1,0,0,0,3,1,0,0,1,2,1,3,1,0,3,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57429094525587,1.01299545944536,2.58728640470123,0.316873903876855,0.203090552390157,0.519964456267012
51000294,700,52,Volodymyr Gerun,ヴォーディミル・ゲルン,1.37524945299345,2361,2224,0.079753329601355,0.0941568096606069,5.11894812888575,8.58323370759625,7.79664870876163,11.7099756434771,大阪,B1,西,21,-0.028720769058835,60,23,37,4868,4988,-120,1,0,1,0,0,0,3,1,0,0,1,2,1,3,1,0,3,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08454250185097,3.7917047631163,6.87624726496727,0.633573623709223,0.794516071173428,1.42808969488265
5100000027,700,60,Seiga Sakamoto,坂本 聖芽,1.16514369108645,2795,2771,0.0870774202450564,-0.0100208700869588,5.95069154646889,-5.23143162524099,8.62839212634476,-2.10468968936017,大阪,B1,西,21,-0.028720769058835,60,23,37,4868,4988,-120,1,0,1,0,0,0,3,1,0,0,1,2,1,3,1,0,3,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60928228481364,1.21643617061863,5.82571845543227,0.962763921279796,0.24399785279699,1.20676177407679
30398,700,88,Hayato Maki,牧 隼利,0.360160866059654,1887,1920,0.0398410158900295,-0.00580134562792451,0.586398516264974,-4.67189412731892,3.26409909614085,-1.5451521914381,大阪,B1,西,21,-0.028720769058835,60,23,37,4868,4988,-120,1,0,1,0,0,0,3,1,0,0,1,2,1,3,1,0,3,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12682463678941,0.673979693508859,1.80080433029827,0.226588545945888,0.135047210793866,0.361635756739753
51000160,697,1,Yante Maten,ヤンテ・メイテン,2.59166289427641,3221,3041,0.135439804877292,0.0455721600749167,11.4428539231154,2.14058038717458,14.1205545029913,5.2673223230554,三遠,B1,西,15,0.0398193519839052,60,36,24,5152,4986,166,2,1,2,1,1,0,0,2,2,2,1,2,2,2,0,0,2,2,3,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.43390119703002,4.52441327435203,12.958314471382,1.90395424759394,0.937066233731543,2.84102048132548
51000516,697,4,Darius Days,ダリアス・デイズ,0.252320246603269,1188,1148,0.102384232241632,0.00233105645530213,7.68897425509197,-3.59348257693622,10.3666748349678,-0.466740641055403,三遠,B1,西,15,0.0398193519839052,60,36,24,5152,4986,166,2,1,2,1,1,0,0,2,2,2,1,2,2,2,0,0,2,2,3,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961958959633543,0.2996422733828,1.26160123301634,0.1943286705164,0.059990124252713,0.254318794769113
30513,697,5,Sota Oura,大浦 颯太,2.77995436187528,3979,3791,0.125767478611734,-0.0100569630474167,10.3444385572416,-5.23621779604845,13.0221391371175,-2.10947586016763,三遠,B1,西,15,0.0398193519839052,60,36,24,5152,4986,166,2,1,2,1,1,0,0,2,2,2,1,2,2,2,0,0,2,2,3,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61684410316,2.28292770621641,13.8997718093764,2.72064618071676,0.459107065172489,3.17975324588925
20021,697,10,Hirotaka Yoshii,吉井 裕鷹,1.08379296966133,2646,2577,0.0712548529812962,0.0107554638883456,4.15383828357042,-2.47634914108927,6.83153886344629,0.650392794791554,三遠,B1,西,15,0.0398193519839052,60,36,24,5152,4986,166,2,1,2,1,1,0,0,2,2,2,1,2,2,2,0,0,2,2,3,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52165991526351,1.89730493304315,5.41896484830666,0.7241161567529,0.38260916019449,1.10672531694739
51000481,697,11,Hideya Asai,浅井 英矢,0.164383558241809,957,1030,0.0882998193363088,0.00872402070786679,6.08951047256768,-2.7457322541418,8.76721105244355,0.381009681739019,三遠,B1,西,15,0.0398193519839052,60,36,24,5152,4986,166,2,1,2,1,1,0,0,2,2,2,1,2,2,2,0,0,2,2,3,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541975827583113,0.279941963625932,0.821917791209045,0.108923979035524,0.0560508731319224,0.164974852167447
51000236,697,14,Hayato Wakugawa,湧川 颯斗,1.79458235863703,3015,2873,0.0830155231674738,0.0410758287068654,5.48941159766256,1.54433641989023,8.16711217753843,4.67107835577105,三遠,B1,西,15,0.0398193519839052,60,36,24,5152,4986,166,2,1,2,1,1,0,0,2,2,2,1,2,2,2,0,0,2,2,3,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13573345616546,3.83717833701971,8.97291179318517,1.07605014325444,0.789151654810082,1.86520179806452
9369,697,15,Tshilidzi Kawata,河田 チリジ,0.592559005808664,1839,1783,0.0426307134121009,0.0599107334766961,0.903204064408522,4.04197225322381,3.5809046442844,7.16871418910463,三遠,B1,西,15,0.0398193519839052,60,36,24,5152,4986,166,2,1,2,1,1,0,0,2,2,2,1,2,2,2,0,0,2,2,3,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12669922477727,1.83609580426605,2.96279502904332,0.226628417687001,0.3732677123797,0.599896130066701
51000454,697,20,Dai Nemoto,根本 大,1.23828939739835,2334,2349,0.108315806617136,0.0328734946864194,8.36257978275882,0.456651421384066,11.0402803626347,3.58339335726489,三遠,B1,西,15,0.0398193519839052,60,36,24,5152,4986,166,2,1,2,1,1,0,0,2,2,2,1,2,2,2,0,0,2,2,3,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88255396481697,2.30889302217478,6.19144698699175,0.811622595989112,0.468689603032513,1.28031219902162
