Ind,TeamID,Lineup_1,Lineup_2,Lineup_3,Lineup_4,Lineup_5,OFFApps,DEFApps,RatingOFF,RatingDEF,RatingOFF_mod,RatingDEF_mod,HensatiOFF,HensatiDEF
6283,727,8654,15826,18433,51000494,51000554,36,40,0.0788378643409935,-0.206655753886867,0.0527913789289178,-0.0173595462035522,2.8699152615557,-7.17313249681058
6284,727,8654,15826,18433,51000494,5100000022,19,25,-0.308307372908222,0.0496772931801381,0.114962569325406,0.11779584538818,-10.4794062693474,1.53912893140566
6285,727,8654,15826,18433,51000510,51000554,65,75,-0.165535428205585,0.106673935920846,0.00025346934339235,-0.038096365027656,-5.55642540312293,3.47633389880844
6286,727,8654,15826,18433,51000510,5100000022,24,25,-0.207162038784672,-0.287074493982461,0.0624246597398805,0.0970590265640757,-6.99177047622841,-9.90640897230712
6287,727,8654,15826,51000441,51000510,51000554,7,2,-0.14250375654528,-0.0803847328238594,-0.0758446200335917,-0.0522129335825994,-4.7622604210811,-2.88142622289751
6288,727,8654,15826,51000491,51000494,51000554,8,7,0.323068036109678,-0.873336378174485,0.0659154869708803,-0.0144471621789444,11.2913209171007,-29.8323095103849
6289,727,8654,15826,51000494,51000510,51000554,98,73,0.0768677301937447,-0.245011566723812,-0.0161562712922761,-0.0305152399538154,2.80198221819062,-8.47677193211076
6290,727,8654,15826,51000494,51000510,5100000022,1,1,0.233629233847543,0.20173302785288,0.0460149191042121,0.104640151637916,8.20734308692136,6.70720744210246
6291,727,8654,15826,51000494,51000513,51000554,4,6,-0.32762969904389,-0.445910200495443,-0.0132809903042819,-0.00339390665175904,-11.1456677120626,-15.3049255315661
6292,727,8654,15826,51000510,51000513,51000554,1,2,-0.190652169309012,0.129970401157426,-0.0658188998898073,-0.0241307254758629,-6.42248656192842,4.26813541568963
6293,727,8654,18433,51000240,51000494,51000554,8,9,-0.445261062792047,0.0747930972972621,0.0980985240625023,0.123986857560818,-15.2017653873181,2.39276623627902
6294,727,8654,18433,51000240,51000510,51000554,1,2,0.246594744177139,0.0754700784831181,0.0455606144769768,0.103250038736715,8.65441242821511,2.41577550933471
6295,727,8654,18433,51000441,51000491,51000554,2,4,0.344787679592694,0.206704795019583,0.0766705950454456,-0.0281136857524622,12.040245290939,6.87618813270069
6296,727,8654,18433,51000441,51000494,51000554,24,18,-0.246374603695273,0.122540787507683,0.0471367463678146,-0.0234449447032294,-8.34387580177075,4.01561730626972
6297,727,8654,18433,51000441,51000494,5100000022,59,67,-0.287812254241216,0.0813940072551826,0.109307936764303,0.111710446888502,-9.77270526265576,2.61711831992779
6298,727,8654,18433,51000441,51000510,51000554,46,48,0.406928157126383,-0.735705984960073,-0.0054011632177108,-0.0441817635273332,14.1829378385089,-25.1545202831585
6299,727,8654,18433,51000441,51000510,5100000022,96,90,0.122403945564601,0.0784343431221044,0.0567700271787773,0.0909736280643985,4.37213605659287,2.51652509575271
6300,727,8654,18433,51000494,51000513,51000554,24,37,0.650992142989657,0.171780812133422,0.057162466511599,0.00463726340350715,22.5986131663325,5.68918991885257
6301,727,8654,18433,51000494,51000513,5100000022,3,1,-0.164888137060697,-0.220080413376891,0.119333656908087,0.139792654995239,-5.53410587859868,-7.62941054757358
6302,727,8654,18433,51000510,51000513,51000554,24,19,-0.2945307518674,-0.277701570563659,0.00462455692607357,-0.0160995554205967,-10.0043686705639,-9.58784154565026
6303,727,8654,18433,51000510,51000513,5100000022,0,1,0,0.200284346930461,0.0667957473225617,0.119055836171135,0.151472933876591,6.65796959678129
6304,727,8654,18433,51000510,51000554,5100000022,2,3,-0.306553235116052,0.0269493199572225,0.0782688786964014,0.0464710487931625,-10.4189210892543,0.76664935174468
6305,727,8654,51000240,51000494,51000510,51000554,0,3,0,-0.104332409174606,0.0291508738413084,0.110831163810555,0.151472933876591,-3.69536113824799
6306,727,8654,51000441,51000491,51000494,51000554,11,18,-0.41237436387116,0.0334425206009541,0.0602608544097772,-0.0205325606786216,-14.0677849692604,0.987340605413835
6307,727,8654,51000441,51000491,51000494,5100000022,4,4,0.200082014509561,-0.343134698956789,0.122432044806265,0.11462283091311,7.05058698011132,-11.8117862424024
6308,727,8654,51000441,51000491,51000510,51000554,2,4,0.249040787869595,-0.0170087065829184,0.00772294482425175,-0.0412693795027255,8.73875551341293,-0.727398425037169
6309,727,8654,51000441,51000494,51000510,51000554,38,52,-0.198623352799574,0.067964956971986,-0.0218109038533792,-0.0366006384534926,-6.69734437021095,2.16069103464964
6310,727,8654,51000441,51000494,51000510,5100000022,10,8,-0.500520577143995,0.0644333565880668,0.0403602865431089,0.0985547531382392,-17.1071924822428,2.04065881033542
6311,727,8654,51000491,51000494,51000513,51000554,6,8,-0.216464259799535,-0.0949411686157856,0.0702865745535615,0.00754964742811491,-7.31252436218927,-3.3761711476483
6312,727,10852,15826,18433,51000441,51000494,2,3,-0.34634292328645,-0.292461504728286,0.0186658416181271,0.0591871522882015,-11.7909264502788,-10.0895029840674
6313,727,10852,15826,18433,51000441,51000510,17,17,0.234958485366399,-0.0979020030401073,-0.0338720679673983,0.0384503334640977,8.25317758057736,-3.47680414774527
6314,727,10852,15826,18433,51000441,51000513,3,1,0.0328786637392268,-0.177923376776222,-0.0309967869794042,0.065571666766154,1.28517628737761,-6.19657491398515
6315,727,10852,15826,18433,51000491,51000510,5,4,-0.00375098160110801,-0.286907742242802,0.0553501294515483,0.0554792860436488,0.0221337230794323,-9.90074140518636
